urn:cts:mid:catullus.28:1	Pisonis comites, cohors inanis,
urn:cts:mid:catullus.28:2	aptis sarcinulis et expeditis,
urn:cts:mid:catullus.28:3	Verani optime tuque mi Fabulle,
urn:cts:mid:catullus.28:4	quid rerum geritis? satisne cum isto
urn:cts:mid:catullus.28:5	vappa frigoraque et famem tulistis?
urn:cts:mid:catullus.28:6	ecquidnam in tabulis patet lucelli
urn:cts:mid:catullus.28:7	expensum, ut mihi, qui meum secutus
urn:cts:mid:catullus.28:8	praetorem refero datum lucello?
urn:cts:mid:catullus.28:9	o Memmi, bene me ac diu supinum
urn:cts:mid:catullus.28:10	tota ista trabe lentus irrumasti.
urn:cts:mid:catullus.28:11	sed, quantum video, pari fuistis
urn:cts:mid:catullus.28:12	casu: nam nihilo minore verpa
urn:cts:mid:catullus.28:13	farti estis. pete nobiles amicos!
urn:cts:mid:catullus.28:14	at vobis mala multa di deaeque
urn:cts:mid:catullus.28:15	dent, opprobria Romuli Remique.
